Platz;Jahr;Titel;Interpret;Geschlecht;Deutsch ;Genre ;;
29;2016;Light It Up (Remix) ;Major Lazer feat. Nyla und Fuse ODG;2;0;1;;
30;2016;Work From Home ;Fifth Harmony feat. Ty Dolla $ign ;2;0;0;;
31;2016;80 Millionen ;Max Giesinger ;0;1;0;;
32;2016;Panda ;Desiigner ;0;0;2;;
33;2016;I Hate U, I Love U;Gnash feat. Olivia Obrien ;2;0;0;;
34;2016;Heathens ;Twenty One Pilots;0;0;0;;
35;2016;Stitches;Shawn Mendes ;0;0;0;;
36;2016;Cake By The Ocean ;DNCE;2;0;0;;
37;2016;No Money ;Galantis ;0;0;1;;
38;2016;Ahnma ;Beginner feat. Gzuz und Gentleman ;0;1;2;;
39;2016;Stimme ;EFF;0;1;0;;
40;2016;Geiles Leben ;Glasperlenspiel ;2;1;0;;
41;2016;Holz;257ers;0;1;2;;
42;2016;This Ones For Fou;David Guetta feat. Zara Larsson ;2;0;1;;
43;2016;Work   ;Rihanna feat. Drake ;2;0;0;;
44;2016;The Greatest;Sia feat. Kendrick Lamar;2;0;0;;
45;2016;Sex;Cheat Codes und Kris Kross Amsterdam ;0;0;0;;
46;2016;Sucker For Pain ;Lil Wayne, Wiz Khalifa und Imagine Dragons feat. Logic, Ty Dolla $ign und X Ambassador;0;0;0;;
47;2016;Palmen Aus Plastik ;Bonez MC und RAF Camora ;0;1;2;;
48;2016;Sorry;Justin Bieber ;0;0;0;;
49;2016;Starboy;The Weekend feat. Daft Punk ;0;0;0;;
50;2016;Perfect Strangers ;Jonas Blue feat. JP Cooper ;0;0;1;;
51;2016;Sing Me To Sleep;Alan Walker ;0;0;1;;
52;2016;Catch and Release (Deepend Remix);Matt Simons ;0;0;0;;
53;2016;Would I Lie To You;David Guetta, Cendric Gervais und Chris Willis ;0;0;1;;
54;2016;Lush Life ;Zara Larsson ;1;0;0;;
55;2016;Ohne Mein Team ;Bonez MC und RAF Camora feat. Maxwell ;0;1;2;;
